time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
0.0,1.029629544,150739.831747,250739.831747,298.15,273.0,0.1
1.1,1.076301847,151042.653221,367659.122088,297.677902709,274.249218373,0.167705979121
2.1,1.154073007,151274.538789,452455.68258200004,297.23072092,274.830387517,0.223115158085
3.1,1.173036802,151461.14083699998,514192.2253219999,296.749009714,277.9127123,0.27324344712
4.1,1.189709435,151652.94731999998,572234.686187,296.305383783,281.525859977,0.318593453505
5.2,1.207851811,151836.38381009997,625992.8352381,295.908083072,285.268257341,0.36351481335
6.3,1.227621337,151981.0890329,659476.7786789,295.624654091,288.327322094,0.403766427453
7.4,1.247522283,152086.8333461,683186.9517861,295.447241055,290.59418564,0.439823595251
8.5,1.268070199,152159.32271849999,701379.7508565,295.355006977,292.170494976,0.472131043191
9.6,1.288263504,152209.32546809997,715797.2428661,295.326534875,293.227213925,0.501073214494
10.7,1.31123512,152244.2090177,726688.4707647,295.343673113,293.92864513,0.526998111592
11.8,1.333861196,152274.0104735,735160.1745245,295.392489119,294.400031769,0.550224980731
12.9,1.356608461,152294.9756117,741801.2053747,295.463090615,294.729445591,0.571032213548
14.0,1.378959118,152313.14515399997,747099.448657,295.54872315,294.975875267,0.589673536772
15.1,1.401867474,152332.3368855,751359.5100955,295.644891544,295.175562598,0.606372694566
16.2,1.42800829,152349.58471020003,754747.9872922001,295.748568142,295.349779138,0.621332716826
17.2,1.451834496,152366.41245400003,757229.519338,295.847548414,295.496178083,0.633575911026
18.2,1.471205001,152381.054488,759222.8442190001,295.949811651,295.635850572,0.644653813739
19.2,1.490204237,152397.171149,760828.547359,296.054438265,295.771917026,0.654677349342
20.2,1.513774923,152414.5013162,762111.2440292,296.160697505,295.905857918,0.663747974703
21.2,1.536804499,152428.84733189997,763114.4218329,296.26796725,296.03766135,0.671955591456
22.2,1.558715664,152444.97122259997,763898.6255626001,296.375704358,296.168219937,0.679382079945
23.2,1.581487971,152462.2866899,764498.7480479,296.483462431,296.29766645,0.686102161888
24.2,1.61186609,152479.6812684,764943.9870134,296.590838919,296.42575128,0.692182806687
25.2,1.639022797,152495.0750449,765258.8118399,296.697472767,296.551981358,0.697749281835
26.2,1.662656433,152509.9628865,765468.5784935,296.803288697,296.676435402,0.707025826964
27.2,1.682734069,152522.14351090003,765590.3279369,296.908843214,296.798569983,0.721994293719
28.2,1.701959483,152537.30616540002,765642.6983464,297.014794097,296.919456298,0.742208598678
29.2,1.718758478,152553.79319650002,765635.7099315,297.121759181,297.03902798,0.767182670926
30.2,1.734638132,152570.3363591,765578.3197060999,297.23032069,297.157385906,0.796443690956
31.2,1.752275357,152586.6362591,765478.4901411,297.341041176,297.274848942,0.829591192657
32.2,1.767818632,152600.8669105,765342.5519265,297.45442471,297.391458477,0.866172812068
33.2,1.783693466,152617.9460869,765175.7507789,297.571003252,297.508608821,0.905985183653
34.2,1.799286751,152633.5784931,764982.3873141,297.691267928,297.625834142,0.948630444936
35.2,1.820446237,152652.3841009,764764.7810988999,297.815724057,297.744946712,0.993928867501
36.2,1.83577362,152669.66903589998,764526.1092639,297.944874261,297.865344279,1.04155179449
37.2,1.852086905,152688.4748676,764267.5838116,298.079178263,297.98808242,1.0913297875
38.2,1.867744368,152707.5709708,763990.7106558,298.219124799,298.113428422,1.143033348
39.2,1.883765432,152725.0468904,763697.2875054,298.365161172,298.241397129,1.19641118172
40.2,1.904443387,152747.3722248,763385.7614408,298.517759125,298.373911835,1.25145976448
41.2,1.924331912,152767.75985580002,763058.4402068,298.677409228,298.510132995,1.30789641047
42.2,1.946612758,152791.1914754,762713.6907923999,298.844545323,298.651478051,1.36566823232
43.2,1.964267492,152815.2128875,762352.2659155,299.019647014,298.798022269,1.4246226152
44.2,1.980503166,152836.69165509997,761975.4558830999,299.203137627,298.949189862,1.4845297682
45.2,1.997009101,152861.95490409998,761580.4021121,299.395441831,299.107100109,1.54543599641
46.2,2.013769625,152888.53249920002,761167.4052252,299.597055073,299.271754693,1.6072259238
47.2,2.031501259,152914.88004810002,760736.7120701,299.808420408,299.443057056,1.66976730823
48.2,2.050566314,152944.9001586,760285.6877486,300.029947115,299.622598464,1.73306930958
49.2,2.066927809,152973.5376118,759816.3783918,300.262117388,299.809319359,1.79695363876
50.2,2.085637183,153004.7338161,759326.1731360999,300.505354441,300.004830715,1.86142752987
51.2,2.103995849,153034.3579217,758816.8679896999,300.759805394,300.208025807,1.92510204607
52.2,2.125430894,153071.718801,758282.552522,301.024987798,300.422837608,1.98751744084
53.2,2.141941939,153107.3018965,757728.1053805001,301.300531233,300.646345431,2.04868021905
54.2,2.157754743,153144.9701666,757151.5532875999,301.585903314,300.879796595,2.10875715587
55.2,2.176030447,153182.8178111,756554.7133341,301.880643158,301.122327349,2.16783023566
56.2,2.194632702,153222.9261113,755936.2440783001,302.184464559,301.375023311,2.22606652936
57.2,2.241665075,153268.1652926,755294.0636116,302.497104211,301.63920927,2.2836249449
58.2,2.259017098,153309.2006778,754636.2059208001,302.818201634,301.909464219,2.34042276407
59.2,2.276378383,153350.26081069998,753960.2659387,303.147456358,302.18881308,2.39657111798
