node;dynamic_connection_fmu_fmu1.direct_input_1;dynamic_connection_fmu_fmu1.direct_input_2;dynamic_connection_fmu_fmu1.dynamic_input_1;dynamic_connection_fmu_fmu1.dynamic_input_2;dynamic_connection_fmu_fmu1.direct_output_1;dynamic_connection_fmu_fmu1.direct_output_2;dynamic_connection_fmu_fmu1.dynamic_output_1;dynamic_connection_fmu_fmu1.dynamic_output_2;sources_fmu_fmu.freq_output;sources_fmu_fmu.ramp_freq_output;sources_fmu_fmu.ramp_output;dynamic_connection_fmu_fmu2.direct_input_1;dynamic_connection_fmu_fmu2.direct_input_2;dynamic_connection_fmu_fmu2.dynamic_input_1;dynamic_connection_fmu_fmu2.dynamic_input_2;dynamic_connection_fmu_fmu2.direct_output_1;dynamic_connection_fmu_fmu2.direct_output_2;dynamic_connection_fmu_fmu2.dynamic_output_1;dynamic_connection_fmu_fmu2.dynamic_output_2;dynamic_connection_fmu_fmu3.direct_input_1;dynamic_connection_fmu_fmu3.direct_input_2;dynamic_connection_fmu_fmu3.dynamic_input_1;dynamic_connection_fmu_fmu3.dynamic_input_2;dynamic_connection_fmu_fmu3.direct_output_1;dynamic_connection_fmu_fmu3.direct_output_2;dynamic_connection_fmu_fmu3.dynamic_output_1;dynamic_connection_fmu_fmu3.dynamic_output_2
dynamic_connection_fmu_fmu1.direct_input_1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu1.direct_input_2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu1.dynamic_input_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu1.dynamic_input_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu1.direct_output_1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu1.direct_output_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
dynamic_connection_fmu_fmu1.dynamic_output_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu1.dynamic_output_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sources_fmu_fmu.freq_output;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sources_fmu_fmu.ramp_freq_output;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sources_fmu_fmu.ramp_output;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu2.direct_input_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu2.direct_input_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu2.dynamic_input_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu2.dynamic_input_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu2.direct_output_1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu2.direct_output_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu2.dynamic_output_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu2.dynamic_output_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu3.direct_input_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
dynamic_connection_fmu_fmu3.direct_input_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
dynamic_connection_fmu_fmu3.dynamic_input_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu3.dynamic_input_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu3.direct_output_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu3.direct_output_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu3.dynamic_output_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dynamic_connection_fmu_fmu3.dynamic_output_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
