,time,AdaptionUnit.Aircraft_State,AdaptionUnit.LHexTout,AdaptionUnit.CPUtime,AdaptionUnit.EventCounter,AdaptionUnit.sWsignals.Aircraft_State,AdaptionUnit.sWsignals.TLiquid,Atmos.Alt,Atmos.Ma,Atmos.CPUtime,Atmos.EventCounter,Atmos.Pamb,Atmos.Tamb,Consumer.Alt,Consumer.Mach,Consumer.Pamb,Consumer.Tamb,Consumer.consumerFeed.hn,Consumer.consumerFeed.m,Consumer.consumerRet.hn,Consumer.consumerRet.m,Consumer.heatLoad,Consumer.CPUtime,Consumer.EventCounter,Consumer.consumerFeed.h,Consumer.consumerFeed.p,Consumer.consumerRet.h,Consumer.consumerRet.p,Consumer.inletTemp,Consumer.outletTemp,ECS_HW.Alt,ECS_HW.Mach,ECS_HW.Pamb,ECS_HW.Tamb,ECS_HW.consumerFeed.h,ECS_HW.consumerFeed.p,ECS_HW.consumerRet.h,ECS_HW.consumerRet.p,ECS_HW.reqCoolingTemperature,ECS_HW.CPUtime,ECS_HW.EventCounter,ECS_HW.LHexTout,ECS_HW.consumerFeed.hn,ECS_HW.consumerFeed.m,ECS_HW.consumerRet.hn,ECS_HW.consumerRet.m,ECS_SW.Input.Aircraft_State,ECS_SW.Input.TLiquid,ECS_SW.TCoolingPack
0,0.0,0.0,273.0,0.001118,3,0,273.0,0.0,0.0,0.000772,3,101325.0,288.15,0.0,0.0,101325.0,288.15,0.0,-0.3,0.0,0.3,50.0,0.000423,4,0.0,100000.0,0.0,100000.0,273.0,273.0,0.0,0.0,101325.0,288.15,0.0,100000.0,0.0,100000.0,0.0,0.001561,3,273.0,0.0,-0.3,0.0,0.3,0,273.0,0.0
1,1.1,0.0,297.749740218,0.052482,3,0,297.749740218,33.3333333333,0.004,0.052137,3,100925.185267,287.933333333,33.3333333333,0.004,100925.185267,287.933333333,29618.446271,-0.341600526017,23.4466523633,-0.176020814648,50.0,0.051787,4,29618.4466496,212778.752068,9706.23054409,209713.670443,282.621642029,276.166399434,33.3333333333,0.004,100925.185267,287.933333333,27139.7448599,202267.954131,7860.81717057,199485.929149,464.254805573,0.052714,5,297.709730918,31972.6474772,-0.342434411295,25.9973193467,-0.148646057026,0,297.749740218,465.153671774
2,2.1,0.0,297.309604593,0.130253,3,0,297.309604593,66.6666666667,0.008,0.129908,3,100526.64896,287.716666667,66.6666666667,0.008,100526.64896,287.716666667,48385.467789,-0.344676937899,1049.47552016,0.0752854777962,50.0,0.129558,4,48385.467928,294521.305728,48187.7427264,280713.201629,288.656727054,288.593385842,66.6666666667,0.008,100526.64896,287.716666667,46939.5021939,288288.419431,46867.7998206,276104.485318,473.718590404,0.130445,7,297.261628953,49750.0717528,-0.344885378676,1723.88358454,0.0959956119589,0,297.309604593,474.716801611
3,3.1,0.0,296.826304569,0.149217,3,0,296.826304569,100.0,0.012,0.148871,3,100129.387949,287.5,100.0,0.012,100129.387949,287.5,59111.8462703,-0.354011877047,11005.0250457,0.167696542715,50.0,0.148521,4,59111.8359038,341791.470815,57688.7317562,317463.081514,292.08526099,291.631246752,100.0,0.012,100129.387949,287.5,58293.863425,337712.577203,56976.2859659,314071.715974,483.851542395,0.149453,7,296.778853459,59883.8712344,-0.355322913812,12171.5230209,0.172273274182,0,296.826304569,484.868614367
4,4.1,0.0,296.375622221,0.16589,3,0,296.375622221,133.333333333,0.016,0.165545,3,99733.3991095,287.283333333,133.333333333,0.016,99733.3991095,287.283333333,65013.7452786,-0.368492607236,23115.2593345,0.206146017906,50.0,0.165195,4,65013.7378591,379261.991494,62823.8408215,348909.634084,293.965359853,293.268273776,133.333333333,0.016,99733.3991095,287.283333333,64581.0984882,375725.28557,62444.2932073,345942.908085,493.874836086,0.166149,7,296.33421011,65417.2703764,-0.369970549609,24325.8874055,0.209314028636,0,296.375622221,494.850901994
5,5.2,0.0,295.96748627,0.184033,3,0,295.96748627,170.0,0.0204,0.183688,3,99299.2770215,287.045,170.0,0.0204,99299.2770215,287.045,68161.1433252,-0.381103969223,35721.5285234,0.236908200935,50.0,0.183338,4,68161.1426305,415630.26742,65740.7121898,379887.074345,294.966161811,294.196633556,170.0,0.0204,99299.2770215,287.045,67975.0404636,412551.455698,65547.675903,377183.011814,504.219866639,0.184318,7,295.935967824,68330.768047,-0.381601615791,36770.9927973,0.239347561216,0,295.96748627,505.112768038
6,6.3,0.0,295.67302078,0.203802,3,0,295.67302078,206.666666667,0.0248,0.203457,3,98866.6863429,286.806666667,206.666666667,0.0248,98866.6863429,286.806666667,69360.6999525,-0.382975863014,46096.1235829,0.261072179815,50.0,0.203107,4,69360.699938,446314.049319,67143.00756,407493.848747,295.347259977,294.642557119,206.666666667,0.0248,98866.6863429,286.806666667,69301.1148418,443757.147749,67058.2194505,405162.007096,513.0,0.204077,7,295.651842324,69413.2581473,-0.382908820365,46907.6475302,0.26298118082,0,295.67302078,513.0
7,7.4,0.0,295.486278502,0.223703,3,0,295.486278502,243.333333333,0.0292,0.223357,3,98435.6229374,286.568333333,243.333333333,0.0292,98435.6229374,286.568333333,69650.6936907,-0.381341951526,53804.4454669,0.27984098446,50.0,0.223007,4,69650.693687,471707.476078,67745.8001406,430825.24478,295.43936315,294.834165093,243.333333333,0.0292,98435.6229374,286.568333333,69644.1227643,469596.292775,67709.5591292,428875.41067,513.0,0.223994,7,295.473973785,69654.6129274,-0.381132888391,54378.9705711,0.281326711712,0,295.486278502,513.0
8,8.5,0.0,295.386942984,0.244251,3,0,295.386942984,280.0,0.0336,0.243906,3,98006.0826764,286.33,280.0,0.0336,98006.0826764,286.33,69603.0307462,-0.378845805359,59126.6389392,0.294633408701,50.0,0.243556,4,69605.7699217,492745.24191,68023.744354,450408.064437,295.425095885,294.922498789,280.0,0.0336,98006.0826764,286.33,69612.7661874,490982.408506,67998.7083563,448743.509204,513.0,0.244572,7,295.381481822,69592.8649789,-0.378620034156,59511.6398127,0.295808292805,0,295.386942984,513.0
9,9.6,0.0,295.35337269,0.264444,3,0,295.35337269,316.666666667,0.038,0.264099,3,97578.0614389,286.091666667,316.666666667,0.038,97578.0614389,286.091666667,69488.1415581,-0.376286993466,62632.0772926,0.307443988417,50.0,0.263749,4,69488.1415503,510128.268316,68184.1633227,466557.994663,295.387737263,294.97347719,316.666666667,0.038,97578.0614389,286.091666667,69497.69651,508689.465016,68169.9750022,465234.473157,513.0,0.264736,7,295.352901998,69479.0169093,-0.376059249826,62881.7664797,0.308613843492,0,295.35337269,513.0
10,10.7,0.0,295.366983341,0.287416,3,0,295.366983341,353.333333333,0.0424,0.287071,3,97151.555112,285.853333333,353.333333333,0.0424,97151.555112,285.853333333,69418.2821128,-0.373661815756,64889.1871842,0.318877263609,50.0,0.286721,4,69418.2821022,524130.832493,68348.9179301,479451.355907,295.365549155,295.025829963,353.333333333,0.0424,97151.555112,285.853333333,69421.500262,522991.121738,68332.8107351,478399.271774,513.0,0.287718,7,295.370040901,69415.7558856,-0.373443022562,65048.515779,0.319777404826,0,295.366983341,513.0
11,11.8,0.0,295.413463492,0.310042,3,0,295.413463492,390.0,0.0468,0.309697,3,96726.5595901,285.615,390.0,0.0468,96726.5595901,285.615,69428.612034,-0.371393199032,66336.3917883,0.327786395453,50.0,0.309348,4,69428.6120349,535252.822088,68547.7016562,489742.730564,295.368830092,295.088991286,390.0,0.0468,96726.5595901,285.615,69424.2046454,534343.6099,68527.905484,488898.41534,513.0,0.310346,7,295.418933609,69433.6994996,-0.371210971085,66439.7235444,0.328491491944,0,295.413463492,513.0
