,time,AdaptionUnit.Aircraft_State,AdaptionUnit.LHexTout,AdaptionUnit.CPUtime,AdaptionUnit.EventCounter,AdaptionUnit.sWsignals.Aircraft_State,AdaptionUnit.sWsignals.TLiquid,Atmos.Alt,Atmos.Ma,Atmos.CPUtime,Atmos.EventCounter,Atmos.Pamb,Atmos.Tamb,Consumer.Alt,Consumer.Mach,Consumer.Pamb,Consumer.Tamb,Consumer.consumerFeed.hn,Consumer.consumerFeed.m,Consumer.consumerRet.hn,Consumer.consumerRet.m,Consumer.heatLoad,Consumer.CPUtime,Consumer.EventCounter,Consumer.consumerFeed.h,Consumer.consumerFeed.p,Consumer.consumerRet.h,Consumer.consumerRet.p,Consumer.inletTemp,Consumer.outletTemp,ECS_HW.Alt,ECS_HW.Mach,ECS_HW.Pamb,ECS_HW.Tamb,ECS_HW.consumerFeed.h,ECS_HW.consumerFeed.p,ECS_HW.consumerRet.h,ECS_HW.consumerRet.p,ECS_HW.reqCoolingTemperature,ECS_HW.CPUtime,ECS_HW.EventCounter,ECS_HW.LHexTout,ECS_HW.consumerFeed.hn,ECS_HW.consumerFeed.m,ECS_HW.consumerRet.hn,ECS_HW.consumerRet.m,ECS_SW.Input.Aircraft_State,ECS_SW.Input.TLiquid,ECS_SW.TCoolingPack
0,1.0,0.0,297.750572305329,0.0620149999999999,3.0,0.0,297.75058226152225,33.333333333333336,0.004,0.061174,4.0,100925.18526735016,287.93333333333334,33.333333333333336,0.004,100925.18526735016,287.93333333333334,74106.30128281785,-0.4013930080140997,4.875041351744819,-0.1487328624783364,50.0,0.059843,4.0,74104.68591960814,235913.9687744684,30763.635921589605,231351.32963408047,296.8526249002838,282.99125793445586,33.333333333333336,0.004,100925.18526735016,287.93333333333334,74104.68591960814,235913.9687744684,30763.635921589605,231351.32963408047,424.270872932024,0.0588109999999999,8.0,297.750572305329,74106.30128281785,-0.4013930080140997,4.875041351744819,-0.1487328624783364,0.0,297.75058226152225,424.270872932024
1,2.0,0.0,297.43769487412834,0.099201,3.0,0.0,297.4376725122804,66.66666666666667,0.008,0.098359,4.0,100526.64896031148,287.71666666666664,66.66666666666667,0.008,100526.64896031148,287.71666666666664,75732.3208768551,-0.4319679033232749,53763.26093987158,0.1740136567047306,50.0,0.0970289999999999,4.0,75732.39666612474,316582.4888490214,71752.74056527899,286592.12023701315,297.36847341515147,296.1066614606396,66.66666666666667,0.008,100526.64896031148,287.71666666666664,75732.39666612474,316582.4888490214,71752.74056527899,286592.12023701315,478.8611102623093,0.0961979999999999,14.0,297.43769487412834,75732.3208768551,-0.4319679033232749,53763.26093987158,0.1740136567047306,0.0,297.4376725122804,478.8611102623093
2,3.0,0.0,297.3512995901805,0.109858,3.0,0.0,297.35129436498,100.0,0.012,0.109016,4.0,100129.3879491708,287.5,100.0,0.012,100129.3879491708,287.5,75685.36878884309,-0.4555341257588025,67297.55047423854,0.2554864821717818,50.0,0.10768,4.0,75685.49561436847,369475.372641563,72335.39762034683,325778.111209915,297.35361438276146,296.2915274528598,100.0,0.012,100129.3879491708,287.5,75685.49561436847,369475.372641563,72335.39762034683,325778.111209915,513.0,0.1066479999999999,14.0,297.3512995901805,75685.36878884309,-0.4555341257588025,67297.55047423854,0.2554864821717818,0.0,297.35129436498,513.0
3,4.0,0.0,297.32057477507306,0.113643,3.0,0.0,297.32057219502235,133.33333333333334,0.016,0.112802,4.0,99733.3991095272,287.2833333333333,133.33333333333334,0.016,99733.3991095272,287.2833333333333,75587.1316685595,-0.4547074778813499,71527.5273165606,0.3100640527766363,50.0,0.111466,4.0,75587.08136471246,407465.7779735057,72802.20333115358,355977.45598919544,297.3224342097748,296.4396049138122,133.33333333333334,0.016,99733.3991095272,287.2833333333333,75587.08136471246,407465.7779735057,72802.20333115358,355977.45598919544,513.0,0.1104339999999999,14.0,297.32057477507306,75587.1316685595,-0.4547074778813499,71527.5273165606,0.3100640527766363,0.0,297.32057219502235,513.0
4,5.0,0.0,297.318193631407,0.1189419999999999,3.0,0.0,297.3181921018752,166.66666666666666,0.02,0.118101,4.0,99338.679322288,287.06666666666666,166.66666666666666,0.02,99338.679322288,287.06666666666666,75567.0502984829,-0.4508947917554265,72928.2618141708,0.345572805244583,50.0,0.116765,4.0,75566.97139821979,434517.77000835206,73262.7078055167,378291.1619993881,297.316062703007,296.5856564380393,166.66666666666666,0.02,99338.679322288,287.06666666666666,75566.97139821979,434517.77000835206,73262.7078055167,378291.1619993881,513.0,0.115732,14.0,297.318193631407,75567.0502984829,-0.4508947917554265,72928.2618141708,0.345572805244583,0.0,297.3181921018752,513.0
5,6.0,0.0,297.3324818020738,0.1223789999999999,3.0,0.0,297.3324818021296,200.0,0.024,0.1215369999999999,4.0,98945.22547366288,286.85,200.0,0.024,98945.22547366288,286.85,75602.71869659616,-0.4473249517798801,73556.77048558634,0.3700108030170264,50.0,0.1202009999999999,4.0,75602.5125669499,454182.8886272211,73702.39633871934,394791.012722591,297.3273232936286,296.72508097538577,200.0,0.024,98945.22547366288,286.85,75602.5125669499,454182.8886272211,73702.39633871934,394791.012722591,513.0,0.119169,14.0,297.3324818020738,75602.71869659616,-0.4473249517798801,73556.77048558634,0.3700108030170264,0.0,297.3324818021296,513.0
6,7.0,0.0,297.3601153790814,0.125506,3.0,0.0,297.36011296391325,233.33333333333331,0.028,0.124665,4.0,98553.0344551595,286.6333333333333,233.33333333333331,0.028,98553.0344551595,286.6333333333333,75681.86955137162,-0.4445263376118455,74012.04118393979,0.3873635794962252,50.0,0.123331,4.0,75681.76234787404,468586.6562508908,74117.2284950171,406986.638768305,297.35243160996885,296.8566011323013,233.33333333333331,0.028,98553.0344551595,286.6333333333333,75681.76234787404,468586.6562508908,74117.2284950171,406986.638768305,513.0,0.1223099999999999,14.0,297.3601153790814,75681.86955137162,-0.4445263376118455,74012.04118393979,0.3873635794962252,0.0,297.36011296391325,513.0
7,8.0,0.0,297.39973967885135,0.129165,3.0,0.0,297.3997373293232,266.6666666666667,0.032,0.128323,4.0,98162.10316357786,286.41666666666663,266.6666666666667,0.032,98162.10316357786,286.41666666666663,75799.49295153588,-0.4423853487604309,74418.26926237029,0.3999329909975633,50.0,0.126987,4.0,75799.32355004028,479214.0872199031,74510.83049879408,416022.3799339634,297.38967648252884,296.98137023935675,266.6666666666667,0.032,98162.10316357786,286.41666666666663,75799.32355004028,479214.0872199031,74510.83049879408,416022.3799339634,513.0,0.125966,14.0,297.39973967885135,75799.49295153588,-0.4423853487604309,74418.26926237029,0.3999329909975633,0.0,297.3997373293232,513.0
8,9.0,0.0,297.4504607458028,0.132468,3.0,0.0,297.4504597711823,300.0,0.036,0.131626,4.0,97772.42850100604,286.2,300.0,0.036,97772.42850100604,286.2,75952.70246025847,-0.4407076237551238,74803.02034664548,0.40921666897466,50.0,0.13029,4.0,75952.47418026195,487091.8900618853,74889.49606584564,422739.1877918569,297.4381939157646,297.1013860902231,300.0,0.036,97772.42850100604,286.2,75952.47418026195,487091.8900618853,74889.49606584564,422739.1877918569,513.0,0.129269,14.0,297.4504607458028,75952.70246025847,-0.4407076237551238,74803.02034664548,0.40921666897466,0.0,297.4504597711823,513.0
9,10.0,0.0,297.5112403862423,0.136171,3.0,0.0,297.5112401775449,333.3333333333333,0.04,0.13533,4.0,97384.00737481426,285.9833333333333,333.3333333333333,0.04,97384.00737481426,285.9833333333333,76138.28930417848,-0.4394086992849368,75175.18347417573,0.416132498341044,50.0,0.133994,4.0,76138.07174002408,492924.1255200515,75258.10303754984,427716.8954140669,297.4969864197224,297.21819650272283,333.3333333333333,0.04,97384.00737481426,285.9833333333333,76138.07174002408,492924.1255200515,75258.10303754984,427716.8954140669,513.0,0.132961,14.0,297.5112403862423,76138.28930417848,-0.4394086992849368,75175.18347417573,0.416132498341044,0.0,297.5112401775449,513.0
